STN_ID,LON,LAT,STN_SP,HT,HT_PA,HT_TA,HT_WD,HT_RN,STN_CD,STN_KO,STN_EN,FCT_ID,LAW_ID,BASIN,Admin_State,Admin_City,Admin_Dong,Admin_Full_Adress
251,126.697,35.42661,52600,58.84,55.5,1.7,10,0.6,146,고창군,Gochanggun,21F10601,5279025030,----,전북특별자치도,고창군,고창읍,전북특별자치도 고창군 고창읍
252,126.47784,35.28366,56500,37.2,38.7,1.5,13,0.6,156,영광군,Yeonggwanggun,21F20102,4687034030,----,전라남도,영광군,군서면,전라남도 영광군 군서면
253,128.89075,35.22981,73000,54.59,54.6,1.7,10,0.5,159,김해시,Gimhaesi,11H20304,4825010300,----,경상남도,김해시,부원동,경상남도 김해시 부원동
254,127.1286,35.37131,52700,129.38,128.4,1.6,10,0.6,146,순창군,Sunchanggun,11F10403,5277025026,----,전북특별자치도,순창군,순창읍,전북특별자치도 순창군 순창읍
255,128.6726,35.22655,73100,50.95,50.3,1.8,10,0.7,155,북창원,Bukchangwon,11H20301,4812311100,----,경상남도,창원시 성산구,중앙동,경상남도 창원시 성산구 중앙동
257,129.02009,35.30737,73100,6.29,16.1,1.8,10,0.6,152,양산시,Yangsansi,11H20102,4833031027,----,경상남도,양산시,동면,경상남도 양산시 동면
258,127.21226,34.76335,56710,1.41,4.3,1.5,10,0.6,168,보성군,Boseonggun,11F20404,4678038023,----,전라남도,보성군,득량면,전라남도 보성군 득량면
259,126.78408,34.64457,56400,16,20,1.5,10,0.6,165,강진군,Gangjin Gun,11F20303,4681025027,----,전라남도,강진군,군동면,전라남도 강진군 군동면
260,126.91951,34.68886,56200,43.99,46.3,1.5,10,0.8,165,장흥,Jangheung,11F20304,4680025043,----,전라남도,장흥군,장흥읍,전라남도 장흥군 장흥읍
261,126.56907,34.55375,56300,16.36,17.91,1.5,10,0.8,165,해남,Haenam,11F20302,4682025034,----,전라남도,해남군,해남읍,전라남도 해남군 해남읍
262,127.27572,34.61826,56400,51.91,53.31,1.5,10,0.8,168,고흥,Goheung,11F20403,4677025029,----,전라남도,고흥군,고흥읍,전라남도 고흥군 고흥읍
263,128.28812,35.32258,75500,14.1,14.9,2,10,0.6,155,의령군,Uiryeonggun,11H20602,4872025024,----,경상남도,의령군,의령읍,경상남도 의령군 의령읍
264,127.74538,35.51138,76700,152.07,152.5,1.8,10,0.6,155,함양군,Hamyanggun,11H20501,4887025022,----,경상남도,함양군,함양읍,경상남도 함양군 함양읍
266,127.6914,34.9434,56600,88.21,87.9,1.7,10,0.6,156,광양시,Gwangyangsi,11F20402,4623010600,----,전라남도,광양시,중마동,전라남도 광양시 중마동
268,126.25846,34.47296,56100,9.82,6.9,1.7,10,0.6,165,진도군,Jindogun,21F20201,4690025025,----,전라남도,진도군,진도읍,전라남도 진도군 진도읍
271,128.91449,36.94361,72100,324.67,326.22,1.9,10,0.6,136,봉화,Bonghwa,11H10402,4792034021,----,경상북도,봉화군,춘양면,경상북도 봉화군 춘양면
272,128.51687,36.87183,72200,211.32,212.78,1.91,10,0.58,136,영주,Yeongju,11H10401,4721025021,----,경상북도,영주시,풍기읍,경상북도 영주시 풍기읍
273,128.14879,36.62727,72300,173.01,174.51,1.8,10,0.6,136,문경,Mungyeong,11H10301,4728010800,----,경상북도,문경시,점촌4동,경상북도 문경시 점촌4동
276,129.04005,36.4351,72900,208.65,210.2,1.75,10,0.5,143,청송군,Cheongsonggun,11H10503,4775025000,----,경상북도,청송군,청송읍,경상북도 청송군 청송읍
277,129.40926,36.53337,72400,40.71,42.01,1.7,10,0.6,138,영덕,Yeongdeok,11H10102,4777036030,----,경상북도,영덕군,영해면,경상북도 영덕군 영해면
278,128.68864,36.3561,72500,81.44,82.94,1.7,10,0.6,143,의성,Uiseong,11H10502,4773025031,----,경상북도,의성군,의성읍,경상북도 의성군 의성읍
279,128.32055,36.13055,72600,49.17,50.67,1.7,10,1.4,143,구미,Gumi,11H10602,4719010800,----,경상북도,구미시,선주원남동,경상북도 구미시 선주원남동
281,128.9514,35.97742,72700,96.12,97.62,1.7,10,0.5,143,영천,Yeongcheon,11H10702,4723010200,----,경상북도,영천시,동부동,경상북도 영천시 동부동
283,129.2009,35.8174,72800,40.13,41.63,1.67,10,0.59,138,경주시,Gyeongjusi,11H10202,4713011300,----,경상북도,경주시,황남동,경상북도 경주시 황남동
284,127.9099,35.66739,76100,228.45,227.3,1.5,10,1.3,152,거창,Geochang,11H20502,4888025028,----,경상남도,거창군,거창읍,경상남도 거창군 거창읍
285,128.16994,35.56505,76200,26.72,33.2,1.5,10,0.5,152,합천,Hapcheon,11H20503,4889025021,----,경상남도,합천군,합천읍,경상남도 합천군 합천읍
288,128.74412,35.49147,76300,8.31,12.5,2,10,1.3,152,밀양,Miryang,11H20601,4827010200,----,경상남도,밀양시,내이동,경상남도 밀양시 내이동
289,127.8791,35.413,76400,138.22,138.8,1.6,10,0.6,155,산청,Sancheong,11H20703,4886025023,----,경상남도,산청군,산청읍,경상남도 산청군 산청읍
294,128.60459,34.88818,76500,44.83,46.7,1.7,10,0.6,159,거제,Geoje,11H20403,4831010800,----,경상남도,거제시,장평동,경상남도 거제시 장평동
295,127.92641,34.81662,76600,45.71,47.01,1.8,10,0.8,159,남해,Namhae,11H20405,4884031021,----,경상남도,남해군,이동면,경상남도 남해군 이동면
296,128.96024,35.21778,75001,3,4.5,1.5,10,0.7,159,북부산,Bukbusan,11H20201,2644010100,----,부산광역시,강서구,대저1동,부산광역시 강서구 대저1동
